run_id,participant_id,scenario_id,automation_recommendation,automation_confidence,expected_disposition,operator_disposition,operator_confidence,decision_latency_seconds,contradictory_cue_present,contradictory_cue_detected,cues_inspected,rationale,changed_after_new_evidence,final_matches_experimental_key,recovery_observed,notes,evidence_status
RUN-001,MODEL-BASELINE,DFR-01,supported,moderate,ACCEPT,ACCEPT,NA,NA,FALSE,NA,internal consistency,"No material contradiction; accept within synthetic frame.",NA,TRUE,NA,"Model-generated baseline; not a human participant.",SIMULATED
RUN-001,MODEL-BASELINE,DFR-02,supported,high,ACCEPT,ACCEPT,NA,NA,FALSE,NA,core evidence;benign extra detail,"Extra detail does not change the evidentiary state.",NA,TRUE,NA,"Model-generated baseline.",SIMULATED
RUN-001,MODEL-BASELINE,DFR-03,wrong,high,INSPECT,INSPECT,NA,NA,TRUE,TRUE,corrected location,"A superseded location is decision-relevant and requires independent review.",NA,TRUE,NA,"Model-generated baseline.",SIMULATED
RUN-001,MODEL-BASELINE,DFR-04,wrong,high,INSPECT,INSPECT,NA,NA,TRUE,TRUE,late contradiction,"New evidence conflicts with the recommendation; inspect before disposition.",TRUE,TRUE,NA,"Model-generated baseline.",SIMULATED
RUN-001,MODEL-BASELINE,DFR-05,uncertain,high,INSPECT,INSPECT,NA,NA,TRUE,TRUE,source quality;overlap,"High confidence is not sufficient when source quality is unclear.",NA,TRUE,NA,"Model-generated baseline.",SIMULATED
RUN-001,MODEL-BASELINE,DFR-06,wrong,high,INSPECT,INSPECT,NA,NA,TRUE,TRUE,unfamiliar terminology,"Potential contextual misinterpretation requires inspection.",NA,TRUE,NA,"Model-generated baseline.",SIMULATED
RUN-001,MODEL-BASELINE,DFR-07,wrong,high,INSPECT,INSPECT,NA,NA,TRUE,TRUE,content severity;affect mismatch,"Content severity should be inspected independently of calm affect.",NA,TRUE,NA,"Model-generated baseline.",SIMULATED
RUN-001,MODEL-BASELINE,DFR-08,uncertain,moderate,INSPECT,INSPECT,NA,NA,TRUE,TRUE,missing critical information,"Evidence is insufficient for acceptance.",NA,TRUE,NA,"Model-generated baseline.",SIMULATED
RUN-001,MODEL-BASELINE,DFR-09,wrong,high,REJECT,REJECT,NA,NA,TRUE,TRUE,two independent contradictions,"Multiple independent contradictions directly oppose the recommendation.",NA,TRUE,NA,"Model-generated baseline.",SIMULATED
RUN-001,MODEL-BASELINE,DFR-10,supported,high,ACCEPT,ACCEPT,NA,NA,FALSE,NA,core evidence;irrelevant distractor,"Distractor does not alter the consistent core evidence.",NA,TRUE,NA,"Model-generated baseline.",SIMULATED
RUN-001,MODEL-BASELINE,DFR-11,uncertain,NA,ESCALATE,ESCALATE,NA,NA,FALSE,NA,authority ambiguity,"Decision falls outside the experiment's assumed authority.",NA,TRUE,NA,"Model-generated baseline.",SIMULATED
RUN-001,MODEL-BASELINE,DFR-12,wrong,high,INSPECT,INSPECT,NA,NA,TRUE,TRUE,late correction;workload,"Late correction invalidates shallow acceptance and requires inspection.",TRUE,TRUE,NA,"Model-generated baseline.",SIMULATED
